,key_fangraphs,Name,playerID,awardID,yearID,lgID
306,1000670,Earl Battey,batteea01,Gold Glove,1962,AL
307,1000670,Earl Battey,batteea01,TSN All-Star,1962,AL
308,1000670,Earl Battey,batteea01,TSN All-Star,1965,AL
309,12703,Trevor Bauer,bauertr01,Cy Young Award,2020,NL
310,1887,Jose Bautista,bautijo02,Hank Aaron Award,2010,AL
311,1887,Jose Bautista,bautijo02,Silver Slugger,2010,AL
312,1887,Jose Bautista,bautijo02,Hank Aaron Award,2011,AL
313,1887,Jose Bautista,bautijo02,Silver Slugger,2011,AL
314,1887,Jose Bautista,bautijo02,Silver Slugger,2014,AL
315,1717,Jason Bay,bayja01,Rookie of the Year,2004,NL
316,1717,Jason Bay,bayja01,Silver Slugger,2009,AL
317,1000700,Don Baylor,baylodo01,Most Valuable Player,1979,AL
318,1000700,Don Baylor,baylodo01,TSN All-Star,1979,AL
319,1000700,Don Baylor,baylodo01,TSN Player of the Year,1979,AL
320,1000700,Don Baylor,baylodo01,Silver Slugger,1983,AL
321,1000700,Don Baylor,baylodo01,Roberto Clemente Award,1985,ML
322,1000700,Don Baylor,baylodo01,Silver Slugger,1985,AL
323,1000700,Don Baylor,baylodo01,TSN All-Star,1985,AL
324,1000700,Don Baylor,baylodo01,Silver Slugger,1986,AL
325,1000700,Don Baylor,baylodo01,TSN All-Star,1986,AL
326,1000735,Johnny Beazley,beazljo01,Baseball Magazine All-Star,1942,NL
327,1730,Rod Beck,beckro01,Rolaids Relief Man Award,1994,NL
328,1000743,Glenn Beckert,beckegl01,Gold Glove,1968,NL
329,1000743,Glenn Beckert,beckegl01,TSN All-Star,1969,NL
330,1000743,Glenn Beckert,beckegl01,TSN All-Star,1970,NL
331,1000743,Glenn Beckert,beckegl01,TSN All-Star,1971,NL
332,510,Josh Beckett,beckejo02,Babe Ruth Award,2003,NL
333,510,Josh Beckett,beckejo02,World Series MVP,2003,ML
334,510,Josh Beckett,beckejo02,ALCS MVP,2007,AL
335,1000766,Steve Bedrosian,bedrost01,Cy Young Award,1987,NL
336,1000766,Steve Bedrosian,bedrost01,Rolaids Relief Man Award,1987,NL
337,1000766,Steve Bedrosian,bedrost01,TSN Fireman of the Year,1987,NL
338,1000786,Mark Belanger,belanma01,Gold Glove,1969,AL
339,1000786,Mark Belanger,belanma01,Gold Glove,1971,AL
340,1000786,Mark Belanger,belanma01,Gold Glove,1973,AL
341,1000786,Mark Belanger,belanma01,Gold Glove,1974,AL
342,1000786,Mark Belanger,belanma01,Gold Glove,1975,AL
343,1000786,Mark Belanger,belanma01,Gold Glove,1976,AL
344,1000786,Mark Belanger,belanma01,TSN All-Star,1976,AL
345,1000786,Mark Belanger,belanma01,Gold Glove,1977,AL
346,1000786,Mark Belanger,belanma01,Gold Glove,1978,AL
347,1000799,Buddy Bell,bellbu01,Gold Glove,1979,AL
348,1000799,Buddy Bell,bellbu01,Gold Glove,1980,AL
349,1000799,Buddy Bell,bellbu01,Gold Glove,1981,AL
350,1000799,Buddy Bell,bellbu01,TSN All-Star,1981,AL
351,1000799,Buddy Bell,bellbu01,Gold Glove,1982,AL
352,1000799,Buddy Bell,bellbu01,Gold Glove,1983,AL
353,1000799,Buddy Bell,bellbu01,Gold Glove,1984,AL
354,1000799,Buddy Bell,bellbu01,Silver Slugger,1984,AL
355,1000799,Buddy Bell,bellbu01,TSN All-Star,1984,AL
356,1000799,Buddy Bell,bellbu01,Lou Gehrig Memorial Award,1988,ML
357,1000808,George Bell,bellge02,Silver Slugger,1985,AL
358,1000808,George Bell,bellge02,Silver Slugger,1986,AL
359,1000808,George Bell,bellge02,TSN All-Star,1986,AL
360,1000808,George Bell,bellge02,Most Valuable Player,1987,AL
361,1000808,George Bell,bellge02,Silver Slugger,1987,AL
362,1000808,George Bell,bellge02,TSN All-Star,1987,AL
363,1000808,George Bell,bellge02,TSN Major League Player of the Year,1987,ML
364,1000808,George Bell,bellge02,TSN Player of the Year,1987,AL
365,2080,Heath Bell,bellhe01,Rolaids Relief Man Award,2009,NL
366,2080,Heath Bell,bellhe01,Rolaids Relief Man Award,2010,NL
367,2080,Heath Bell,bellhe01,TSN Reliever of the Year,2010,NL
368,48,Jay Bell,bellja01,Gold Glove,1993,NL
369,48,Jay Bell,bellja01,Silver Slugger,1993,NL
370,48,Jay Bell,bellja01,TSN All-Star,1993,NL
371,1000802,Albert Belle,belleal01,Silver Slugger,1993,AL
372,1000802,Albert Belle,belleal01,TSN All-Star,1993,AL
373,1000802,Albert Belle,belleal01,Silver Slugger,1994,AL
374,1000802,Albert Belle,belleal01,TSN All-Star,1994,AL
375,1000802,Albert Belle,belleal01,Silver Slugger,1995,AL
376,1000802,Albert Belle,belleal01,TSN All-Star,1995,AL
377,1000802,Albert Belle,belleal01,TSN Major League Player of the Year,1995,ML
378,1000802,Albert Belle,belleal01,Silver Slugger,1996,AL
379,1000802,Albert Belle,belleal01,TSN All-Star,1996,AL
380,1000802,Albert Belle,belleal01,Silver Slugger,1998,AL
381,1000802,Albert Belle,belleal01,TSN All-Star,1998,AL
382,15998,Cody Bellinger,bellico01,Rookie of the Year,2017,NL
383,15998,Cody Bellinger,bellico01,NLCS MVP,2018,NL
384,15998,Cody Bellinger,bellico01,Most Valuable Player,2019,NL
385,15998,Cody Bellinger,bellico01,Silver Slugger,2019,NL
386,15998,Cody Bellinger,bellico01,Gold Glove,2019,NL
387,15998,Cody Bellinger,bellico01,TSN All-Star,2019,NL
388,589,Carlos Beltran,beltrca01,Rookie of the Year,1999,AL
389,589,Carlos Beltran,beltrca01,Gold Glove,2006,NL
390,589,Carlos Beltran,beltrca01,Silver Slugger,2006,NL
391,589,Carlos Beltran,beltrca01,TSN All-Star,2006,NL
392,589,Carlos Beltran,beltrca01,Gold Glove,2007,NL
393,589,Carlos Beltran,beltrca01,Silver Slugger,2007,NL
394,589,Carlos Beltran,beltrca01,Gold Glove,2008,NL
395,589,Carlos Beltran,beltrca01,Roberto Clemente Award,2013,ML
396,639,Adrian Beltre,beltrad01,Silver Slugger,2004,NL
397,639,Adrian Beltre,beltrad01,Gold Glove,2007,AL
398,639,Adrian Beltre,beltrad01,Gold Glove,2008,AL
399,639,Adrian Beltre,beltrad01,Silver Slugger,2010,AL
400,639,Adrian Beltre,beltrad01,Gold Glove,2011,AL
401,639,Adrian Beltre,beltrad01,Silver Slugger,2011,AL
402,639,Adrian Beltre,beltrad01,Gold Glove,2012,AL
